Question ID,Fold,Answer,Category,Text
103377,train,Compton scattering,Science:Physics,"Variables from the Kompaneets equation can be transformed to its namesake y-parameter. ||| The inverse of this effect causes the intensity of CMB radiation to be distorted when measured in the direction of a cluster of galaxies, which is known as the Sunyaev-Zel'dovich effect, and the quantum mechanical version of its cross section can be described by the Klein-Nishina formula. ||| Discovered by using a molybdenum target, a graphite block, and a Bragg spectrometer with a calcite crystal, it is equal to the Thomas variety in non-relativistic cases. ||| For 10 points, name this effect associated with the scattering of x rays by free electrons."
205213,train,Gibbs free energy,Science:Chemistry,"The partial derivative of this quantity over temperature with respect to temperature equals minus enthalpy divided by temperature squared. ||| For ideal mixing, the change in this quantity is equal to the total moles of substance times the gas constant times temperature times the sum over all components of the mole fraction times the natural log of the mole fraction. ||| This quantity's natural variables are temperature and pressure. ||| This quantity equals minus the (*) ideal gas constant times temperature times the natural log of the equilibrium constant. ||| Equal to enthalpy minus the product of temperature and entropy, for 10 points, name this quantity which determines whether or not a reaction is spontaneous, named for an American chemist."
193526,train,Charles Baudelaire,Literature,"This poet claimed """"Nature is a temple in which living pillars / Sometimes give voice to confused\n words"""" in his poem """"Correspondences. ||| """" He wrote another poem about a figure who """"[is] exiled on earth,\n amidst its hooting crowds, / He cannot walk borne down by his giant wings. ||| """" This poet wrote about a figure\n """"who, like a stab of a knife / entered my plaintine heart"""" in """"The Vampire"""" which appears in the same\n collection as """"Litanies to Satan. ||| """" This poet of Artificial Paradises wrote a collection that includes sections\n titled """"Revolt"""", """"Death"""" and """"Spleen and Ideal. ||| """" For 10 points, name this French poet who included """"The\n Albatross"""" and """"Invitation to the Voyage"""" in The Flowers of Evil."
196064,train,Tax,History,"An official called a defterdar was responsible for implementing these measures, which were typically auctioned off via the muqata'ah. ||| The haraj was the most important one of these measures during the reign of Mehmet II by an order of magnitude or more. ||| Haraj could be considered an example of jizya, which signified a higher status than zakat during the early Islamic period, since the latter was associated with nomads while the former pertained to Christians, members of the community of the faithful. ||| Devshirme may be considered a form of this, in that case paid in kind as it enslaved children to the Ottoman state, where they came to be a ruling class. ||| For 10 points, these are all Islamic examples of what type of coercive measures enacted to finance state activities"
190225,train,Phloem,Science,"One of this tissue's two component cell types has endoplasmic reticula lined up at its side. ||| That type of this tissue does not have a nucleus because the other type can produce proteins for it. ||| Ernst Munch created the Pressure Flow Hypothesis to describe the function of this tissue. ||| Unlike its counterpart, it uses loading and unloading to move its contents. ||| Beavers kill trees by chewing this part of the bark away, and its functioning is regulated by the bulk flow of materials via [*] translocation, from sources to sinks. ||| Made up of companion cells and sieve tubes, for 10 points, name this plant tissue that shuttles sugar and nutrients around, contrasted with the xylem."
3550,train,Lajos Kossuth,History,"This man opposed the economics-first program advocated by an earlier leader who wrote Stadium and Light. ||| This man's followers secured the passage of certain acts that ended the noble exemption from taxation and the practice of extracting ""robot"" labor that are known variously as the March Laws or April Laws. ||| A bust of this person can be found in United States Capitol with the subtitle ""Freedom Fighter,"" and he claimed to have learned English by studying Shakespeare in jail. ||| This editor of the Pesti Hirlap proclaimed independence in Debrecen, but Viscount Canning had to negotiate this man's exile at Shumen in Ottoman-controlled Bulgaria following the defeat of the Revolutions of 1848. ||| For 10 points, name this man who sought autonomy from the Hapsburgs, the national hero of Hungary. "
109216,train,The Magic Flute,Fine_Arts,"The title of this opera comes from the subtitle of Wielands Lulu. ||| In the finale of scene one, one characters mouth being locked shut results in the quintet hm hm hm hm, while act two begins with the trio Du feines Tubchen, nur herein, in which slaves relate one characters escape from the lusty moor Monostatos. ||| Another character is revealed to be 18 rather than 80 after serving water to her birdcatching lover, Papageno. ||| The opera centers around the potential curse to be put on Pamina and Tamino, whose blood along with Sarastros is required to empower the Queen of the Night. ||| For 10 points, name this opera about an enchanted instrument by Wolfgang Amadeus Mozart."
197503,train,Francis Bacon,Social_Science,"This thinker called for public funding of science and for the compilation of an encyclopedia in his The Advancement of Learning. ||| In one work he described the ideal scholarly institution, Salomon's House, located on the utopian island of Bensalem. ||| In addition to writing New Atlantis, this man coined the phrase ""Knowledge is power,"" and advocated a system of logic based on inductive reasoning. ||| This thinker's namesake method eventually led to the scientific method. ||| For 10 points, name this British author of Novum Organum."
12430,train,Shiva,Social_Science,"He has a double, Aghora, who is sometimes represented as his evil twin and is always attended by the beautiful Bhadra. ||| Impressed by the penance of Parashurama, he offered his mystical axe Parashu as a boon. ||| Among his many personifications are Ishwar, Shakta, and Dhurjati, though the most famous is the cosmic dancer, Nataraja. ||| In art, like Rama, he is shown with blue skin and is often riding his great bull, Nandi. ||| FTP, name this husband of Parvathi and father of Ganesh, the Hindu destroyer god."
203022,train,Ireland,Literature:Europe,"One poet from this country wrote an oriental romance in which the title character is a daughter of Aurangzebe that journeys to Kashmir to marry Aliris. ||| That poem is Lalla Rookh. ||| It is the birthplace of an author who wrote a poem in which Strephon breaks into Celia's dressing room, only to discover that she shits. ||| A different poet from this country wrote ""Though Hamlet rambles and Lear rages, [tragedy] cannot grow by an inch or an ounce."" ||| That poem begins with a description of what ""hysterical woman say"" about the palette and the fiddlebow. ||| That author from here wrote ""I know that I shall meet my fate somewhere among the clouds"" in a different poem. ||| It is the home country of the author of ""Lapis Lazuli,"" who also wrote the lines ""things fall apart / the center cannot hold."" ||| For 10 points, identify this home country of Jonathan Swift and William Butler Yeats."
10643,train,Surface tension,Science:Physics,"This phenomenon is the cause of Plateau-Rayleigh instability and the Marangoni effect. ||| The Bond number indicates the relative strength in a system of gravity and forces due to this, while the Weber number relates it to inertia. ||| The Young-Laplace equation states that capillary pressure is directly proportional to the wetting angle and this quantity, and it can be computed for an arbitrary pure liquid using the Eotvos rule. ||| Measured in units of ergs per centimeter squared, or newtons per meter, it is causes the formation of 'tears of wine' and the spherical shape of water droplets. ||| For 10 points, identify this phenomenon, the storage of energy at the surface of a liquid. "
9312,train,Gibbs free energy,Science:Chemistry,"Setting the partial derivative of this quantity equal to zero will allow one to arrive at the standard form Kohler Equation, and at constant temperature, the partial derivative of this quantity with respect to pressure is simply equal to volume. ||| For a single species in a mixture and all else constant, the partial molar value of this quantity is equivalent to its chemical potential. ||| Its standard change in a voltaic cell is defined as the negative product of moles of charge, Faraday constant, and potential difference, while in a chemical reaction it is the negative product of the ideal gas constant, temperature, and the equilibrium constant. ||| Most generally defined as enthalpy minus the product of temperature and entropy, FTP name this thermodynamic parameter whose change must be less than zero for a reaction to be spontaneous."
101328,train,Candide,Literature,"Act II of this play opens with one character trying to figure out how a typewriter works, but hes rebuked when he makes a key stick. ||| A main character reveals that his kids Jimmy and Fluffy are back in town, when he is visited in his drawing room by Alexander Mill, whom he calls Lexy. ||| That character is told that all the women he knows suffer from Prossys complaint, which refers to his secretary Proserpine Garnett, who took a pay cut just to work for him out of love  this interchange later confuses his snobbish father-in-law Mr. Burgess. ||| The plot is initiated when the young poet Eugene Marchbanks declares that he is in love with the wife of Reverend James Morell, but in the end that title wife decides to stay with Morell since he is the weaker man. ||| FTP, name this play by George Bernard Shaw named for a woman who sounds like a Voltaire protagonist."
201795,train,Enigma Variations,Fine_Arts:Music,"During the initial rehearsal for this piece, the composer was unsatisfied with the use of side drum sticks for a timpani roll, and so two coins were used instead. ||| The clarinet quotes from Mendelssohn's Calm Sea and Prosperous Voyage Overture to depict a journey to Australia in a movement which is designated as a ""Romanza,"" although that movement is marked with three asterisks. ||| In another movement, the woodwinds imitate a (*) stutter. ||| The most famous movement of this work is a pun on the name of Augustus Jaeger. ||| It has been claimed that this work is based on ""Auld Lang Syne"" or ""God Save the King,"" though the composer rejected both of those claims. ||| Including a movement called 'Nimrod', for 10 points, name this orchestral work by Edward Elgar which depicts his friends and contains a hidden, unplayed theme."
194229,train,Allen Ginsberg,Literature,"In one poem, this author recalled throwing potato salad at a Dadaism expert with his friend Carl Solomon, to whom he dedicated the poem. ||| This author wrote of walking with Walt Whitman down the aisles of a grocery store and through the darkened streets in his poem """"A Supermarket in California. ||| """" For 10 points, name this American poet who """"saw the best minds of [his] generation destroyed by madness"""" at the beginning of his long poem Howl, which exemplified the Beat movement."
871,train,Enigma Variations,Fine_Arts,"While William Baker and August Jaeger are represented in this work, the composer dedicated the last one to himself, writing ""E.D.U. ||| "" next to the name of the piece. ||| The one preceding this lacks initials, but evidence indicates that it is perhaps written to Lady Mary Lygon or Helen Weaver, who was the composer's fiance before she moved to New Zealand. ||| The fifth is dedicated to Richard Arnold, the son of Matthew Arnold, while the first is dedicated to the composer's wife. ||| For ten points, identify this set of compositions which are modifications to some well known tune, composed by Edward Elgar."
211302,train,Sikhism,Social_Science:Religion,"Adherents of this religion greet each other with the words ""sat sri akal"". ||| This religion's services   are ended by reading a randomly selected verse from its scripture, and in this religion's places of  worship, communal kitchens serve free food to visitors regardless of their backgrounds. ||| Members of   this faith are baptized by being sprinkled with and then drinking sugar water, and adherents wear  metal bracelets and carry daggers as two of this religion's Five Ks. ||| Name this Indian religion founded  by a series of ten gurus, beginning with Guru Nanak, whose members maintain their uncut hair in  turbans."
202722,train,Moliere,Literature:Europe,"In one play by this author, the high-class Angelica marries the lower-class title character, who has to put up with her caprices. ||| This author of George Dandin wrote a play whose title character has a name which derives from the Latin word for a grappling hook. ||| Another of his plays includes the quack doctor Thomas Diafoirus, who is in love with Angelique, the daughter of the title character. ||| In one of his plays, Celimene is courted by several men, including Alceste, despite the latter's indisguised hatred for most people. ||| He wrote a play in which Valere tries to win the heart of Mariane, the daughter of Orgon, while the title religious hypocrite tries to stop him. ||| For 10 points, name this author of The Miser, The Misanthrope, The Imaginary Invalid and Tartuffe."
115349,train,Netherlands,History,"During one invasion, this country transferred some of its possessions to an ally by the terms of the Kew Letters. ||| During another war, patriotic maps of this country stressed its supposed resemblance to a lion. ||| The Thorbecke Reforms weakened the power of the king in this country, which signed the Treaty of Nonsuch. ||| Balthasar Gerard killed an early leader of this country, which during World War Two was ruled by the Austrian Nazi Arthur Seyss-Inquart; earlier, bands of poor soldiers from this country were known as ""the beggars"". ||| One former province of this polity became independent by the terms of the London Convention of 1839. ||| For ten points name this scene of Operation Market Garden, a country whose current monarch is Queen Beatrix, with capital at Amsterdam."
191316,train,Charlemagne,History,"This ruler's campaign against the Saxons included a series of wars against King Widukind and a possible massacre of a group of Pagan reverts, the Massacre of Verden. ||| His empire sustained a loss at the Battle of Trsat, including the death of his general Eric of Friuli. ||| He was crowned emperor by Pope Leo III in St. Peter's Basilica, though he made his capital at Aachen. ||| Succeeded by his son Louis the Pious, his lands were further divided by his grandchildren via the Treaty of Verdun. ||| For 10 points, name this early Holy Roman Emperor."
209120,train,Edward Elgar,Fine_Arts,"This composer dedicated to King Edward VII ""the passionate pilgrimage of [his] soul"", his E-flat major 2nd Symphony. ||| This composer included ""But hark! ||| upon my sense comes a fierce hubbub"" and ""I go before my judge"" in a choral setting of a Cardinal Newman poem. ||| This composer of The Dream of Gerontius included the movements (*) ""Ysobel"" and ""Nimrod"" in a work dedicated to his ""friends pictured within,"" and his tune for ""The Land of Hope and Glory"" is often played at graduations. ||| For ten points, name this English composer of The Enigma Variations and Pomp and Circumstance."
10341,train,Josephson effect,Science:Physics,"If the film is coated with a metal along a few micrometers of its length, it is known as a Notarys-Mercereau microbridge or proximity-effect type of this device. ||| A drop of lead-tin solder around a niobium wire creates the SLUG type, while the simplest type is called the Anderson-Dayem bridge. ||| They are useful in determining absolute voltages and absolute temperatures by measuring emitted radiation frequencies, and at a minimum of six picoseconds, they are the fastest known switching devices. ||| FTP, identify these connections between superconductors through which their namesake effects are observed."
360,train,Gustave Courbet,Fine_Arts,"His early works included self portraits such as The Wounded Man, The Cellist, and The Man with a Pipe. ||| His works concerning dormancy include The Sleeping Spinner and an erotic work featuring two females entitled The Sleepers. ||| One of his best-known works, which depicts a young and old man performing the titular backbreaking action, was destroyed during the bombing of Dresden, and another depicts the internment of a peasant in the presence of two clergy wearing red. ||| FTP, name this French painter of The Stone-breaker and The Burial at Organs."
202429,train,China,Literature:World,"This country is the setting of the novella Lust, Caution. ||| A novel set in this country is about three brothers nicknamed the Tiger, the Landlord, and the Merchant. ||| One character from this country is called ""Poor Fool"" because of a mental disability caused by malnutrition. ||| That character appears in a novel which was followed by the sequels Sons and A House Divided. ||| Olivia is told stories from this country by her sister in the novel The Hundred Secret Senses. ||| Immigrants from this country living in San Francisco are also the subject of the novels The Kitchen God's Wife and The Joy Luck Club, by Amy Tan. ||| For 10 points, name this country which is the setting for many novels by Pearl S. Buck, including The Good Earth, which is about characters like O-Lan and Wang Lung."
13234,train,Odin,Social_Science,"The image of this figure on his mount is associated with three interlocking triangles, the Valknut. ||| This god worked for Baugi and seduced Gunnlod to obtain a substance made from Kvasirs blood. ||| Along with Vili and Ve, this god was the son of Borr and Bestla. ||| This gods possessions include the throne Hlidskjalf and the ring Draupnir. ||| This god receives half of the Einherjar in Valhalla, where they are served by his Valkyrie messengers. ||| After making a trip to Mimirs Well, this god lost one eye. ||| Huginn and Muninn are ravens loyal to, for 10 points, what chief Norse deity"
103395,train,Maria Theresa,History,"After she barely survived smallpox, she promulgated a general inoculation policy, and this female ruler also regulated the payment for peasant labor via the Robot Patent. ||| The last major conflict during her rule was ended by the Congress of Teschen, and her husband had to give up Lorraine to marry her. ||| She changed her country's allegiance from Britain to France prior to a conflict which kept Silesia in the hands of Prussia, which had invaded it to contest the wishes of her father, Charles VI. ||| For 10 points, name this Holy Roman empress whose reign was secured by the Pragmatic Sanction and the succeeding War of Austrian Succession."
102587,train,Jainism,Social_Science,"The cosmology of this group holds that pudgala is comprised of paramanu. ||| Its eschatology holds that, when all the teachings become Purva, the current kalpa will end. ||| Its biology predicts a multitude of minute nigodas, parts of the jiva. ||| Its divided monastic sects are the Shvetambaras and Digambaras and its best-known practice is probably ahimsa or non-violence. ||| This religions reveres the teachings of Parshvanatha, Mahavira, and other Tirtankaras. ||| For 10 points, name this religion that teaches a disciplined spiritual path to enlightenment and that is prominent in India."
212078,train,Water,Science,"Release factors bind this substance to eRF3-GTP in a ribosome to end translation. ||| The apoplastic and symplastic pathways transfer this compound. ||| The ""potential"" of this substance is the sum of its solute and pressure components, and is symbolized psi. ||| It is evolved into oxygen gas and two electrons to replenish those lost by photosystem II during the light-dependent reactions. ||| This substance is present in higher concentration for the hypotonic solution. ||| Tetrameric proteins which allow this substance to enter the cell are called aquaporins. ||| It forms the largest percent of the cytosol by mass. ||| For 10 points, name this vital compound for life."
204636,train,Johann Wolfgang von Goethe,Literature:Europe,"This character compares himself to the flame of a candle and a drunken butterfly to tell another character how he is the figure of eternal sacrifice that burns people into spirit and light. ||| This 67-year old discourses on the beauty of a hyalite, hyaline quartz to deflect a question from his son about an occupant of the Hotel Elephant. ||| A woman uses this character's theater box and then has an imaginary conversation with him about the nature of sacrifice while riding in a carriage back to her hotel. ||| This character is contrasted both with Dr. Friedrich Reimer, who abandoned a post at a university to become his secretary, and with his son August, who is fated to always follow in his footsteps. ||| This character doesn't actually appear until the antepenultimate chapter, in which he has a conversation with Charlotte Kestner, a woman he'd loved 40 years ago. ||| For 10 points, name this aging writer who is reunited with the inspiration of his youth in Thomas Mann's Lotte in Weimar."
207933,train,Spain,Fine_Arts,"One composer from this country was so impressed by the pianist Malats that he completed the last two books of a suite to showcase extreme virtuosity on the piano. ||| The first piece of that ""collection of 12  impressions"" is an A minor ""Evocation,"" and its composer also wrote a ""Prelude"" and ""Orientale"" to begin another work. ||| Another composer wrote ""Distant Dance"" as one of a set of nocturnes using folk music from this country, and he wrote the (*) ""Dance of the Miller's Wife"" and the ""Dance of the Magistrate"" in one work, while another includes the ""Ritual Fire Dance."" For 10 points, name this country, home to Isaac Albeniz and the composer of Love the Magician and The Three-Cornered Hat, Manuel de Falla, where a popular style of dance is flamenco."
111625,train,China,Social_Science,"An anthropologist from this country won the 1980 Malinowski Prize and the 1981 Huxley medal; that man cooperated with Margaret Park Redfield on a 1945 study of the peasants of this country. ||| One philosophical tradition from this country urged refinement through self-reflection on ones past failures, a process known as embracing; that school had a subset known as the School of Names. ||| One thinker from this country wrote the political tract Mirror of the State. ||| The allegory of the three vinegar tasters is used in this country to compare some of its major schools of thought, and important works in this country include The The Great Learning and the Doctrine of the Mean. ||| Unfortunate incidents in the intellectual history of this country include the Burying of the Scholars, which wiped out many of the Hundred Schools. ||| For ten points, name this Asian country home to Mohism, Legalism, and Taoism."
190849,train,Jonathan Swift,Literature,"A series of pamphlets written by this man against William Wood's copper coinage was called Drapier's Letters, and the debate between the Moderns and Ancients was satirized in this man's """"The Battle of the Books,"""" which was placed at the beginning of his A Tale of a Tub. ||| This author's works also include the essay """"A Modest Proposal,"""" and a novel in which the titular surgeon travels to Lilliput. ||| For 10 points, name this author of Gulliver's Travels."
211350,train,George Frideric Handel,Fine_Arts,"Many of this person's works were published by Friedrich Chrysander, and one of his works was   composed as background music for an event staged by Thomas Desaguliers [day- zah-gool-yay] at  Green Park. ||| This composer set two Dryden poems to music, ""Alexander's Feast"" and ""A Song for  St. Cecilia's Day"". ||| This composer's four coronation anthems include Zadok the Priest. ||| One of his  works, first performed on a boat traveling near King George the First, is Water Music. ||| This composer  collaborated with librettist Charles Jennens on a work that featured the Hallelujah  chorus. ||| Name  this composer of The Messiah."
9319,train,Ester,Science:Chemistry,"Reaction of these compounds with a strong acid may produce a tri-alkyl oxonium salt. ||| Allyl aryl ones can undergo the Claissen Rearrangement, and the smallest cyclic member of this group is ethylene oxide, while cyclic poly- ones are known as ""crown. ||| ""  Members of this class of chemicals can be produced by dehydroxation of alcohols or by alkoxide nucleophilic displacement on an alkyl halide, which is known as the Williamson synthesis. ||| FTP, name these chemical compounds defined by the presence of an oxygen bonded to two alkyl groups and perhaps best known for their diethyl variety, which is a notable anesthetic."
13255,train,Odin,Social_Science,"The Solarljod claims that this figures eldest daughter is called Radvr and that his youngest is called Kreppvr. ||| Loki insulted this god by saying that the daughters of Hymir relieved themselves in his mouth. ||| This figure's father-in-law once captured Loki as a giant eagle, forcing Loki to lure Idunn into Thrymheim. ||| This figure was exchanged with Hoenir to end the Aesir-Vanir War. ||| The wife of this god was once made to laugh by the efforts of Loki and a female goat. ||| He separated from his wife because she could not get used to living in Natn due to the screeching of the gulls after she selected this god for his beautiful feet. ||| For 10 points, name this father of Freyr and Freya and husband of Skadi, the Norse god of wealth and seafaring."
191146,train,Stephen Crane,Literature,"A gunfight between Scratchy and Jack is prevented by Jack not having a gun in this author's ""The Bride Comes to Yellow Sky."" This author wrote a novella about the oldest child of the Johnson family being forced out of home and her eventual death. ||| Another work by this author is titled for an injury given by a retreating man's rifle to the head of Henry Fleming. ||| For 10 points, name this American author of Maggie: A Girl of the Streets and The Red Badge of Courage."
10620,train,Compton scattering,Science:Physics,"The edge named for this phenomenon describes the feature of a spectograph caused by it, and its namesake suppression counteracts that edge. ||| Dense galactic clusters perturb the Cosmic Microwave Background Radiation through an inverse form of this, the Sunyaev-Zeldovich effect. ||| Plank's constant divided by a particle's rest mass times the speed of light gives its namesake wavelength, and the derivative of its cross-section is given by the Klein-Nishina formula. ||| For 10 points, name this effect which describes a decrease in the wavelength of a photon when it collides with an electron, an American physicist's namesake scattering."
106934,train,Jean Racine,Literature,"In his last tragedy, the title character is overthrown thanks to a priest named Joad, leading to the crowning of Joas. ||| The title character of one of his earlier plays is the younger brother of Amurat who falls in love with Atalide, who commits suicide after Roxane orders his death. ||| Pharnace and Xiphares oppose the title monarch in his Mithridate, while the Bible inspired his late works Athalie and Esther. ||| He borrowed from The Wasps in his only comedy, Les Plaideurs, though he is better known for tragedies based on Greek works. ||| FTP, name this French dramatist of Andromaque and Phdre."
1704,train,Seneca Falls Convention,History,"""The history of mankind is a history of repeated injuries and usurpations on the part of man toward woman, having in direct object the establishment of an absolute tyranny over her. ||| ""  So begins the list of grievances in this document, deliberately modeled in structure and tone on the Declaration of Independence and consisting of a declaration of sentiments followed by twelve resolutions that demand for women equal treatment and the right to vote. ||| Signed by sixty-eight women and thirty-two men, the document was prepared by Elizabeth Cady Stanton and issued by a seminal 1848 conference on women's rights. ||| FTP, name this work."
13286,train,Sikhism,Social_Science,"One text composed by a member of this group describes the invasion of Babar into India through the metaphor of a marriage; that is the Baburbani. ||| That member of this group emphasized three principles, including Vand Chakko, the principle of giving to the poor. ||| He later educated a member of this group who drastically expanded the religion with which they were associated by establishing new temples; that man was Angad. ||| More famous principles expounded by these people include repetitive chanting of the name of the divine, known as Naam Japna, while the last member of this group was elevated by Gobind Singh and is composed of hymns and meditations on God's name. ||| For 10 points, name this group comprised of ten people, including Granth Sahib and the first one, Nanak."
122220,train,Shiva,Social_Science,"This deity stopped the madness of Mankanaka by pricking his own arm so that white ash came out, which this figure is traditionally covered with in depictions. ||| He broke Arjuna's sword while taking the form of a mountain man in a white tigerskin, and he granted Gandhari one hundred children. ||| While bestowing darshan on his worshippers in the Hall of Consciousness, this deity kills the demon Apasmara by standing on him. ||| Catching the secretions of a serpent turned this deity's throat blue, and his hair is often depicted as continuous with the Ganges. ||| This deity may be more famous for replacing his son's head with an elephant's after burning that son, Ganesh, with his third eye. ||| For 10 points, name this Hindu destroyer god who makes up the Trimurti with Brahma and Vishnu."
192628,train,Edgar Allan Poe,Literature,"In one of this man's poems, the title subject is said to be the """"true daughter of Old Time"""" and that it """"alterest all things with thy peering eyes. ||| """" That poem is """"Sonnet - To Science. ||| """" This poet of """"The City in the Sea"""" wrote about the tintinnabulation of """"The Bells. ||| """" Another of his poems tells of a knight searching for El Dorado. ||| He wrote a poem that begins """"Once upon a (*) midnight dreary"""" and sees the title animal repeat the word """"Nevermore. ||| """" For 10 points, name this poet of """"Annabel Lee"""" and """"The Raven. ||| """""
10502,train,Compton scattering,Science:Physics,"The namesake suppression of this effect is designed to counteract the namesake edge, which is the highest energy at which false spectra are obtained due to incomplete detection. ||| A related effect can be broken down to include the Ostriker-Vishniac effect and has been used to observe dense galaxy clusters through perturbations of the CMB. ||| That effect, the Sunyaev-Zel'dovich, is the inverse of this process, which has its differential cross section described by the Klein-Nishina formula and includes a constant known as its wavelength. ||| For 10 points, name this effect in which the namesake shift describes the change in wavelength of a photon colliding with an electron."
123723,train,Cuba,Social_Science,"Just off the north-central coast of this island nation is the Sabana-Camagey Archipelago. ||| The Nicholas Channel borders the north of this nation, which also contains the Isla de la Juventud. ||| Narciso Lopez once attempted to filibuster this nation, which is home to the celebrated sports team Industriales. ||| The Windward Passage separates Hispaniola from this island, which is a mere ninety-mile journey across the Strait of Florida from Key West. ||| For 10 points, name this island nation that houses many 1950s automobiles and fine cigars in its capital of Havana."
